"","bark thickness","bud burst timing (mean month)","clonal growth form","coarse root rooting depth","cold_tolerance","cone serotiny","dispersal distance","dispersal syndrome","drought_tolerance","earliest bud burst timing (month)","fire_resistance","fire_tolerance","foliage type (deciduous or evergreen)","latest bud burst timing (month)","leaf dry matter content","leaf flammability","leaf force to punch","leaf photosynthetic rate","leaf texture (coarseness)","leaf thickness","leaf_length","maximum height","plant height, vegetative","resprouting ability","shade_tolerance","specific leaf area","waterlogging_tolerance","wood (or stem-specific) density","water potential at 50% loss of stem hydraulic conductivity","xylem conductance","height of lowest branch","hydraulic safety margin 50%","hydraulic safety margin 88%","leaf mass area","minimum midday xylem pressure potential","seed bank longevity","slope of vulnerability curve","stem conduit diameter (vessels and tracheids)","water potential at 12% loss of stem hydraulic conductivity","water potential at 88% loss of stem hydraulic conductivity","degree of self-pruning","photosynthetic water use efficiency","specific leaf conductivity","stem conduit density (vessels and tracheids)","stomatal conductance","seedbank duration","leaf toughness","minimum predawn xylem pressure potential","stem xylem embolism vulnerability, P50","Leaf texture (sclerophylly, physical strength, toughness)","Photosynthesis rate per leaf area","Plant height generative","leaf water content","seedbank density","stomata density","relative growth rate","intrinsic water use efficiency"
"LARI LYA",22.86,5,0,3,-50,0,0,6,3,5,0,0,0,5,0,0,0,0,0,0,4,0,16.5956666666666,0,1,11.185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARI OCC",90.5,3.5,0,3,-41.6,0,240,6,2.42,3,1,0,0,4,0.41186,0,3.22,6.64890347,0,0.4,4.5,0,46.8367652173913,0.5,1.35,11.8103160638639,1,0.260512623212882,-4.289872,0,0.961813333333333,2.809805,2.46219,667.5606,-1.5,0,42.0194638860677,12.558203547216,-2.68114259567911,-6.02896555324067,0,0,0.00010685,0,0,0,0,0,0,0,0,0,0,147250000,0,0,0
"PICE ENG",15,6,3,0,-45.5,0,137.5,6,2.58,6,0,0,3,6,0,0,0,5.07859338114286,1,0,2.6,50,38.3514545454545,0,4.53,3.29642857142857,1.02,0.240555509403757,-3.43602541655023,0,0,0,0,309.029543251359,0,0,46.5362765835939,15.5680369041451,-3.36379602033207,-4.99695397966792,0,4.17099578611111,0,2606.28866622405,96,0,0,0,0,0,0,0,0,0,0,0,0
"PICE ENG GLA",15,6,3,0,-45.5,0,137.5,6,2.58,6,0,0,3,6,0,0,0,5.07859338114286,1,0,2.6,50,38.3514545454545,0,4.53,3.29642857142857,1.02,0.240555509403757,-3.43602541655023,0,0,0,0,309.029543251359,0,0,46.5362765835939,15.5680369041451,-3.36379602033207,-4.99695397966792,0,4.17099578611111,0,2606.28866622405,96,0,0,0,0,0,0,0,0,0,0,0,0
"PICE GLA",12.15,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,27.5,30.23999951232,0,0,15.1,0,0.00033,-4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0.073882528,0
"PICE MAR",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0
"PICE SIT",17,5,3,0,-36.1,0,415,6,1.52,5,0,0,3,5,0.376484318684444,0,5.221,9.00852972526731,1,0,2.5,40,44.5574662162162,0,3.85,5.33563239928134,1.99,0.180833331105993,-3.85,0,0,0,0,154.881661891248,0,0,44.7058823529412,10.8847222222222,-3,-4.7,0,0,0,0,112.329816632432,0,0,0,0,0,0,0,0,0,143.325,0,0
"PINU ALB",21.5,5.5,3,3,-50,0,0,2,5,5,0,0,3,6,0,0,0,0,1,0,6.2,0,14.3436302439024,0,1,4.175,1,0.454386346185192,-3.509813,0,0.98679,2.088595,1.5903,1750.84497,-1.5,8,102.875218595567,11.3544726428992,-2.14298140952389,-4.44317744285708,0,0,0.0001164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PINU BAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0.0539752377333333,0
"PINU CON",15.5,5,0,3,-56.6,1,40,4.26086956521739,4.04,5,0,0,3,5,0.55168,0,5.23,14.3039743367044,1,0.53,7.6,50,26.2595333333333,0.333333333333333,1.73,2.889375,2.7,0.206538085850473,-2.32467012444536,0,0,1.97,1.14137,0,-1.7,0,82.4093369735283,24.81184126837,-2.61295116647641,-4.43938366681887,0,0,8.445e-05,1732.05453436533,0,0,0,0,0,0,0,0,0,0,0,0,82.505
"PINU CON CON",15.5,5,0,3,-56.6,1,40,4.26086956521739,4.04,5,0,0,3,5,0.55168,0,5.23,14.3039743367044,1,0.53,7.6,50,26.2595333333333,0.333333333333333,1.73,2.889375,2.7,0.206538085850473,-2.32467012444536,0,0,1.97,1.14137,0,-1.7,0,82.4093369735283,24.81184126837,-2.61295116647641,-4.43938366681887,0,0,8.445e-05,1732.05453436533,0,0,0,0,0,0,0,0,0,0,0,0,82.505
"PINU CON LAT",15.5,5,0,3,-56.6,1,40,4.26086956521739,4.04,5,0,0,3,5,0.55168,0,5.23,14.3039743367044,1,0.53,7.6,50,26.2595333333333,0.333333333333333,1.73,2.889375,2.7,0.206538085850473,-2.32467012444536,0,0,1.97,1.14137,0,-1.7,0,82.4093369735283,24.81184126837,-2.61295116647641,-4.43938366681887,0,0,8.445e-05,1732.05453436533,0,0,0,0,0,0,0,0,0,0,0,0,82.505
"PINU PON",60.8182926829269,5,0,3,-37.7,0,78.5,4.30769230769231,4.32,5,1,1,3,5,0.502797181263335,0,4,1535004.85929127,1,0.64,28,72,49.5995744680851,0,1.64,5.774523384711,1.02,0.220241964056113,-2.97689201754386,0,0,0.67,0,316.227766016838,-2.004,7,41.0281689079264,15.8783639613035,-1.39038776333458,-3.74885391541557,0,0,0.000781344827586207,0,121.040245098039,0,0.0685666666666667,-1.24920272727273,-2.72,0,0,0,0,0,0,0,0
"POPU BAL",100,0,0,0,-61.67,0,0,6,1.77,0,0,1,0,0,0.44243,0,3.44626335708988,12.865,1,0.27,0,30,26.4364571428572,1,1.27,15.9059712709575,2.63,0.22639625,-1.71965277777778,0,0,0.552166469539244,0.825,83.1469185202787,-0.7,0,48.513481948996,36.65,-0.925,-2.505,0,0,0,363.81,378.241880277778,0,0,-0.1,0,0,0,0,0,0,0,0,0
"POPU TRE",2.07084444444444,5.5,2,0,-56.67,0,0,6,1.77,5,0,1,0,6,0.36936596393372,0,4.54056331348139,14.2482808459476,1,0.16,0,12,13.0587395104895,1,1.21,18.0513377806896,1.77,0.198857217307344,-2.2703125,0,0,0.73,0.761,82.1902187275229,-2.01,2,20.8240496100773,23.6778846153846,-0.8135,-4.0045,0,2.39713844011111,5.48e-05,0,332.09555356871,0,0,0,-2.50672782874618,0,0,0,0,0,0,0,0
"PRUN VIR",0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2.86881119796936,0,1,0,0,15,10.9923142857143,1,0,23.2787175050968,0,0.00036,-3.8,0,0,0,0,83.1763771102671,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSEU MEN",157.39435483871,5.25,0,3,-36.1,0,1033.33333333333,4.75,2.62,4.75,1,0,3,5.75,0.478702068965517,0,2.31,9.30570566068332,1,0.54,3.2,50.5,60.3562955555555,0,2.78,8.44436553855726,1.79,0.230090584032623,-3.7663165,0,0,0,0,138.038426460289,-2.09285714285714,1,38.6650300052431,16.6092840388346,-2.1185254994092,-4.85056335248641,0,0,3.87333333333333e-05,0,69.1894466666667,0,0,-1.234805,-3.19,0,0,0,0,0,0,0,0
"PSEU MEN GLA",157.39435483871,5.25,0,3,-36.1,0,1033.33333333333,4.75,2.62,4.75,1,0,3,5.75,0.478702068965517,0,2.31,9.30570566068332,1,0.54,3.2,50.5,60.3562955555555,0,2.78,8.44436553855726,1.79,0.230090584032623,-3.7663165,0,0,0,0,138.038426460289,-2.09285714285714,1,38.6650300052431,16.6092840388346,-2.1185254994092,-4.85056335248641,0,0,3.87333333333333e-05,0,69.1894466666667,0,0,-1.234805,-3.19,0,0,0,0,0,0,0,0
"PSEU MEN MEN",157.39435483871,5.25,0,3,-36.1,0,1033.33333333333,4.75,2.62,4.75,1,0,3,5.75,0.478702068965517,0,2.31,9.30570566068332,1,0.54,3.2,50.5,60.3562955555555,0,2.78,8.44436553855726,1.79,0.230090584032623,-3.7663165,0,0,0,0,138.038426460289,-2.09285714285714,1,38.6650300052431,16.6092840388346,-2.1185254994092,-4.85056335248641,0,0,3.87333333333333e-05,0,69.1894466666667,0,0,-1.234805,-3.19,0,0,0,0,0,0,0,0
"QUER MAC",28.89,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32.79749951232,1,0,13.0480167014614,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SALI SCO",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAXU BRE",35.5,0,3,0,-27.7,0,0,2,2.5,0,0,0,3,0,0,0,0,3.9,0,0,2.6,0,15.3644736842105,0,4.86,12.0782090880476,1,0.329237008687442,-6.4399375,0,0,0,0,0,0,0,22.9302811647464,10.8698657829674,-4.78249920409463,-8.09700079590537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THUJ PLI",19,0,3,0,-36.1,0,100,6,2.23,0,0,0,3,0,0,0,0,0,0,0,0.3,40,37.0099369863013,0,4.73,8.64750592187778,1.01,0.231979795287559,-5.0574431604,0,2.64332936170213,0,0,14036.4966178723,0,0,22.1780235141056,11.7513524221515,-2.79645929607341,-6.32021368076541,0,0,3.39778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSUG HET",23.5,0,3,0,-30.5,0,1123.33333333333,6,1.17,0,0,0,3,0,0.43481,0,2.91,7.59333333333333,0,0.33,2,35,54.5037878787879,0,4.96,11.6230274725275,0.95,0.22271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26e-05,0,200,2,0,0,0,0,0,0,0,0,0,0,0
"TSUG MER",25.5,0,3,0,-27.7,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,2.5,0,41.7083333333333,0,4.48,4.32,0.95,0.23271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
